query,semantics,comment,explanation,text
25080.sql,almost,"The comment count does not account for duplicates due to the join with votes, a distinct count should be used. The up vote and down vote count does not account for duplicates due to the join with comments.","The query retrieves the top 5 most commented questions per tag, then summarizes and lists the top 10 tags with the highest total upvotes on those questions.","WITH RankedPosts AS ( SELECT p.Id AS PostId, p.Title, p.Tags, p.Body, COUNT(c.Id) AS CommentCount, SUM(CASE WHEN v.VoteTypeId = 2 THEN 1 ELSE 0 END) AS UpVotes, SUM(CASE WHEN v.VoteTypeId = 3 THEN 1 ELSE 0 END) AS DownVotes, ROW_NUMBER() OVER (PARTITION BY p.Tags ORDER BY COUNT(c.Id) DESC) AS Rank FROM Posts p LEFT JOIN Comments c ON p.Id = c.PostId LEFT JOIN Votes v ON p.Id = v.PostId WHERE p.PostTypeId = 1 GROUP BY p.Id, p.Title, p.Tags, p.Body ), FilteredPosts AS ( SELECT PostId, Title, Tags, Body, CommentCount, UpVotes, DownVotes FROM RankedPosts WHERE Rank <= 5 ) SELECT fp.Tags, STRING_AGG(fp.Title, '; ') AS TopQuestions, SUM(fp.CommentCount) AS TotalComments, SUM(fp.UpVotes) AS TotalUpVotes, SUM(fp.DownVotes) AS TotalDownVotes, COUNT(fp.PostId) AS TotalPosts FROM FilteredPosts fp GROUP BY fp.Tags ORDER BY TotalUpVotes DESC LIMIT 10;"
13845.sql,correct,,"This query retrieves the top 100 users ranked by reputation and total post score, along with their number of posts, questions, answers, views, and badge counts.","WITH UserStats AS ( SELECT U.Id AS UserId, U.Reputation, U.Views, COUNT(DISTINCT P.Id) AS PostCount, SUM(CASE WHEN P.PostTypeId = 1 THEN 1 ELSE 0 END) AS QuestionCount, SUM(CASE WHEN P.PostTypeId = 2 THEN 1 ELSE 0 END) AS AnswerCount, SUM(CASE WHEN P.PostTypeId IN (1, 2) THEN P.Score ELSE 0 END) AS TotalScore FROM Users U LEFT JOIN Posts P ON U.Id = P.OwnerUserId GROUP BY U.Id, U.Reputation, U.Views ), TopBadgeUsers AS ( SELECT B.UserId, COUNT(B.Id) AS BadgeCount FROM Badges B GROUP BY B.UserId ) SELECT U.UserId, U.Reputation, U.Views, U.PostCount, U.QuestionCount, U.AnswerCount, U.TotalScore, COALESCE(B.BadgeCount, 0) AS BadgeCount FROM UserStats U LEFT JOIN TopBadgeUsers B ON U.UserId = B.UserId ORDER BY U.Reputation DESC, U.TotalScore DESC LIMIT 100;"
6566.sql,almost,"The post count does not account for duplicates due to the join with votes and badges, a distinct count should be used. The up other counts also do not account for duplicates. Rank is incorrect due to this mistake.","The query retrieves the top 10 users ranked by their total number of posts, along with counts of their questions, answers, wikis, upvotes, downvotes, and badges.","WITH UserActivity AS ( SELECT u.Id AS UserId, u.DisplayName, COUNT(p.Id) AS TotalPosts, SUM(CASE WHEN p.PostTypeId = 1 THEN 1 ELSE 0 END) AS TotalQuestions, SUM(CASE WHEN p.PostTypeId = 2 THEN 1 ELSE 0 END) AS TotalAnswers, SUM(CASE WHEN p.PostTypeId = 3 THEN 1 ELSE 0 END) AS TotalWikis, SUM(CASE WHEN v.VoteTypeId = 2 THEN 1 ELSE 0 END) AS TotalUpvotes, SUM(CASE WHEN v.VoteTypeId = 3 THEN 1 ELSE 0 END) AS TotalDownvotes, SUM(CASE WHEN b.Date IS NOT NULL THEN 1 ELSE 0 END) AS TotalBadges FROM Users u LEFT JOIN Posts p ON u.Id = p.OwnerUserId LEFT JOIN Votes v ON p.Id = v.PostId AND v.UserId = u.Id LEFT JOIN Badges b ON u.Id = b.UserId GROUP BY u.Id, u.DisplayName ), TopUsers AS ( SELECT UserId, DisplayName, TotalPosts, TotalQuestions, TotalAnswers, TotalWikis, TotalUpvotes, TotalDownvotes, TotalBadges, RANK() OVER (ORDER BY TotalPosts DESC) AS Rank FROM UserActivity ) SELECT t.UserId, t.DisplayName, t.TotalPosts, t.TotalQuestions, t.TotalAnswers, t.TotalWikis, t.TotalUpvotes, t.TotalDownvotes, t.TotalBadges, t.Rank FROM TopUsers t WHERE t.Rank <= 10 ORDER BY t.Rank;"
28677.sql,incorrect,"Tags are extracted incorrectly.","This query retrieves the top 50 questions ranked by comment and vote counts, along with their tags, associated popular tags, recent editors, and last edit dates.","WITH RankedPosts AS ( SELECT p.Id AS PostId, p.Title, p.Body, COUNT(c.Id) AS CommentCount, COUNT(DISTINCT v.UserId) AS VoteCount, ARRAY_AGG(DISTINCT t.TagName) AS Tags, ROW_NUMBER() OVER (ORDER BY COUNT(c.Id) DESC, COUNT(DISTINCT v.UserId) DESC) AS Rank FROM Posts p LEFT JOIN Comments c ON p.Id = c.PostId LEFT JOIN Votes v ON p.Id = v.PostId AND v.VoteTypeId IN (2, 3) LEFT JOIN unnest(string_to_array(p.Tags, ',')) AS tag ON TRUE LEFT JOIN Tags t ON TRIM(tag) = t.TagName WHERE p.PostTypeId = 1 GROUP BY p.Id, p.Title, p.Body ), PopularTags AS ( SELECT t.TagName, COUNT(DISTINCT p.Id) AS PostCount FROM Posts p JOIN unnest(string_to_array(p.Tags, ',')) AS tag ON TRUE JOIN Tags t ON TRIM(tag) = t.TagName WHERE p.PostTypeId = 1 GROUP BY t.TagName HAVING COUNT(DISTINCT p.Id) > 10 ), RecentPostHistory AS ( SELECT ph.PostId, ARRAY_AGG(DISTINCT ph.UserDisplayName) AS Editors, MAX(ph.CreationDate) AS LastEditDate FROM PostHistory ph GROUP BY ph.PostId ) SELECT rp.PostId, rp.Title, rp.Body, rp.CommentCount, rp.VoteCount, rp.Tags, pt.TagName AS PopularTag, rph.Editors, rph.LastEditDate, rp.Rank FROM RankedPosts rp LEFT JOIN PopularTags pt ON pt.TagName = ANY(rp.Tags) LEFT JOIN RecentPostHistory rph ON rph.PostId = rp.PostId WHERE rp.Rank <= 50 ORDER BY rp.Rank;"
20832.sql,incorrect,"Incorrect join between postid and userid.","The query retrieves active users with more than five answered questions and at least one gold badge, summarizing their post statistics, top trending post details, close vote reasons, and related post links within the past year.","WITH RankedPosts AS ( SELECT p.Id AS PostId, p.Title, p.ViewCount, p.Score, p.CreationDate, ROW_NUMBER() OVER (PARTITION BY p.PostTypeId ORDER BY p.ViewCount DESC, p.Score DESC) AS Rank, COALESCE(p.AcceptedAnswerId, -1) AS AnswerStatus FROM Posts p WHERE p.CreationDate >= cast('2024-10-01' as date) - INTERVAL '1 year' AND p.ViewCount IS NOT NULL ), PostStatistics AS ( SELECT u.Id AS UserId, SUM(CASE WHEN p.AnswerCount > 0 THEN 1 ELSE 0 END) AS TotalQuestionsAnswered, COUNT(DISTINCT p.Id) AS TotalPosts, AVG(p.Score) AS AverageScore, SUM(CASE WHEN b.Class = 1 THEN 1 ELSE 0 END) AS GoldBadges, SUM(CASE WHEN b.Class = 2 THEN 1 ELSE 0 END) AS SilverBadges, SUM(CASE WHEN b.Class = 3 THEN 1 ELSE 0 END) AS BronzeBadges FROM Users u LEFT JOIN Posts p ON u.Id = p.OwnerUserId LEFT JOIN Badges b ON u.Id = b.UserId GROUP BY u.Id ), ClosedPostReasons AS ( SELECT ph.PostId, COUNT(*) AS CloseVoteCount, STRING_AGG(CASE WHEN ph.PostHistoryTypeId = 10 THEN cr.Name END, ', ') AS CloseReasons FROM PostHistory ph LEFT JOIN CloseReasonTypes cr ON cr.Id::text = ph.Comment GROUP BY ph.PostId ), UserPostLinkages AS ( SELECT pl.PostId, pl.RelatedPostId, COUNT(pl.Id) AS LinkCount FROM PostLinks pl JOIN Posts p ON pl.PostId = p.Id WHERE p.CreationDate < cast('2024-10-01' as date) - INTERVAL '6 months' GROUP BY pl.PostId, pl.RelatedPostId ), FinalStats AS ( SELECT ps.UserId, ps.TotalQuestionsAnswered, ps.TotalPosts, ps.AverageScore, ps.GoldBadges, ps.SilverBadges, ps.BronzeBadges, COALESCE(rp.PostId, 0) AS TopPostId, COALESCE(rp.Title, 'No Trending Post') AS TopPostTitle, COALESCE(rp.ViewCount, 0) AS TopPostViewCount, COALESCE(rp.Score, 0) AS TopPostScore, COALESCE(cpr.CloseVoteCount, 0) AS TotalCloseVotes, COALESCE(cpr.CloseReasons, 'No Close Reasons') AS CloseReasons, COALESCE(pl.LinkCount, 0) AS TotalRelatedLinks FROM PostStatistics ps LEFT JOIN RankedPosts rp ON ps.UserId = rp.PostId LEFT JOIN ClosedPostReasons cpr ON rp.PostId = cpr.PostId LEFT JOIN UserPostLinkages pl ON ps.UserId = pl.PostId ) SELECT *, CASE WHEN TotalPosts = 0 THEN 'No activity' ELSE 'Active User' END AS UserActivityStatus FROM FinalStats WHERE TotalQuestionsAnswered > 5 AND GoldBadges > 0 ORDER BY TotalPosts DESC, AverageScore DESC;"
12771.sql,correct,,"The query retrieves each post type's name along with the total number of posts, average score, average view count, and number of distinct active users who created posts, sorted by the number of posts in descending order.","SELECT pt.Name AS PostType, COUNT(p.Id) AS PostCount, AVG(p.Score) AS AverageScore, AVG(p.ViewCount) AS AverageViewCount, COUNT(DISTINCT p.OwnerUserId) AS ActiveUsers FROM Posts p JOIN PostTypes pt ON p.PostTypeId = pt.Id GROUP BY pt.Name ORDER BY PostCount DESC;"
21134.sql,correct,,"The query lists the top 10 most-commented posts from the past year along with their upvotes and downvotes, showing details of users with over 1000 reputation and badges in the last 6 months who own those posts, ordered by user reputation.","WITH RankedPosts AS ( SELECT p.Id AS PostId, p.Title, p.CreationDate, p.Score, p.ViewCount, ROW_NUMBER() OVER (PARTITION BY p.PostTypeId ORDER BY p.Score DESC) AS ScoreRank, COUNT(c.Id) AS CommentCount FROM Posts p LEFT JOIN Comments c ON p.Id = c.PostId WHERE p.CreationDate >= TIMESTAMP '2024-10-01 12:34:56' - INTERVAL '1 year' GROUP BY p.Id, p.Title, p.CreationDate, p.Score, p.ViewCount ), PostVoteSummary AS ( SELECT p.Id AS PostId, SUM(CASE WHEN v.VoteTypeId = 2 THEN 1 ELSE 0 END) AS UpVotes, SUM(CASE WHEN v.VoteTypeId = 3 THEN 1 ELSE 0 END) AS DownVotes, COALESCE(SUM(CASE WHEN v.VoteTypeId = 1 THEN 1 ELSE 0 END), 0) AS AcceptedVotes FROM Posts p LEFT JOIN Votes v ON p.Id = v.PostId GROUP BY p.Id ), UserBadgesCount AS ( SELECT b.UserId, COUNT(b.Id) AS BadgeCount, MAX(b.Class) AS MaxBadgeClass FROM Badges b WHERE b.Date >= TIMESTAMP '2024-10-01 12:34:56' - INTERVAL '6 months' GROUP BY b.UserId ), FilteredUsers AS ( SELECT u.Id AS UserId, u.DisplayName, u.Reputation, COALESCE(ub.BadgeCount, 0) AS BadgeCount, CASE WHEN ub.MaxBadgeClass = 1 THEN 'Gold' WHEN ub.MaxBadgeClass = 2 THEN 'Silver' WHEN ub.MaxBadgeClass = 3 THEN 'Bronze' ELSE 'No Badge' END AS MaxBadgeCategory FROM Users u LEFT JOIN UserBadgesCount ub ON u.Id = ub.UserId WHERE u.Reputation > 1000 AND u.Location IS NOT NULL ), MostCommentedPosts AS ( SELECT rp.PostId, rp.Title, rp.CreationDate, rp.CommentCount, pv.UpVotes, pv.DownVotes, RANK() OVER (ORDER BY rp.CommentCount DESC) AS CommentRank FROM RankedPosts rp JOIN PostVoteSummary pv ON rp.PostId = pv.PostId WHERE rp.CommentCount > 0 ) SELECT f.DisplayName, f.Reputation, f.MaxBadgeCategory, mcp.Title AS MostCommentedPostTitle, mcp.CommentCount AS MostComments, mcp.UpVotes, mcp.DownVotes FROM FilteredUsers f LEFT JOIN MostCommentedPosts mcp ON f.UserId = ( SELECT p.OwnerUserId FROM Posts p WHERE p.Id = mcp.PostId LIMIT 1 ) WHERE mcp.CommentRank <= 10 ORDER BY f.Reputation DESC;"
4498.sql,almost,"UpVotes and DownVotes are not associated with users, the up vote, down vote, and net vote counts are always zero.","The query retrieves the top 10 posts with positive scores, including post details and the net voting statistics of their owners, ordered by the owners' net votes and post creation date.","WITH UserVoteCounts AS ( SELECT U.Id AS UserId, U.DisplayName, COUNT(CASE WHEN V.VoteTypeId = 2 THEN 1 END) AS UpVoteCount, COUNT(CASE WHEN V.VoteTypeId = 3 THEN 1 END) AS DownVoteCount, SUM(CASE WHEN V.VoteTypeId IN (2, 3) THEN CASE WHEN V.VoteTypeId = 2 THEN 1 ELSE -1 END ELSE 0 END) AS NetVotes FROM Users U LEFT JOIN Votes V ON U.Id = V.UserId GROUP BY U.Id, U.DisplayName ), PostAnalytics AS ( SELECT P.Id AS PostId, P.Title, P.CreationDate, COUNT(C) AS CommentCount, SUM(CASE WHEN V.VoteTypeId = 2 THEN 1 ELSE 0 END) AS UpVotes, SUM(CASE WHEN V.VoteTypeId = 3 THEN 1 ELSE 0 END) AS DownVotes, SUM(CASE WHEN V.VoteTypeId = 2 THEN 1 ELSE -1 END) AS Score, ROW_NUMBER() OVER (PARTITION BY P.OwnerUserId ORDER BY P.CreationDate DESC) AS UserPostRank, P.OwnerUserId FROM Posts P LEFT JOIN Comments C ON P.Id = C.PostId LEFT JOIN Votes V ON P.Id = V.PostId GROUP BY P.Id, P.Title, P.CreationDate, P.OwnerUserId ), FinalResults AS ( SELECT UA.UserId, UA.DisplayName, PA.PostId, PA.Title, PA.CreationDate, PA.CommentCount, PA.UpVotes, PA.DownVotes, PA.Score, UA.NetVotes FROM UserVoteCounts UA JOIN PostAnalytics PA ON UA.UserId = PA.OwnerUserId WHERE UA.NetVotes IS NOT NULL ) SELECT UserId, DisplayName, PostId, Title, CreationDate, CommentCount, UpVotes, DownVotes, Score, NetVotes FROM FinalResults WHERE Score > 0 ORDER BY NetVotes DESC, CreationDate ASC LIMIT 10;"
17894.sql,correct,,"This query retrieves the top 10 most recent questions with their author's name, title, creation date, score, and the count of comments on each question.","SELECT U.DisplayName AS UserDisplayName, P.Title AS PostTitle, P.CreationDate AS PostCreationDate, P.Score AS PostScore, COUNT(C.Id) AS CommentCount FROM Users U JOIN Posts P ON U.Id = P.OwnerUserId LEFT JOIN Comments C ON P.Id = C.PostId WHERE P.PostTypeId = 1 GROUP BY U.DisplayName, P.Title, P.CreationDate, P.Score ORDER BY P.CreationDate DESC LIMIT 10;"
14549.sql,correct,,"The query retrieves the top 10 posts with the most revisions, showing each post's ID, number of revisions, first and last revision dates, the user who made the last edit, and various post statistics like title, score, views, answers, and comments.","SELECT PH.PostId, COUNT(PH.Id) AS RevisionCount, MIN(PH.CreationDate) AS FirstRevisionDate, MAX(PH.CreationDate) AS LastRevisionDate, U.DisplayName AS LastEditedBy, P.Title, P.Score, P.ViewCount, P.AnswerCount, P.CommentCount FROM PostHistory PH JOIN Posts P ON PH.PostId = P.Id LEFT JOIN Users U ON PH.UserId = U.Id GROUP BY PH.PostId, U.DisplayName, P.Title, P.Score, P.ViewCount, P.AnswerCount, P.CommentCount ORDER BY RevisionCount DESC LIMIT 10;"
17626.sql,correct,,"This query retrieves the 10 most recent questions along with their details, owner name, and the number of comments each has.","SELECT P.Id AS PostId, P.Title, P.CreationDate, U.DisplayName AS OwnerDisplayName, P.Score, P.ViewCount, COUNT(C.Id) AS CommentCount FROM Posts P JOIN Users U ON P.OwnerUserId = U.Id LEFT JOIN Comments C ON P.Id = C.PostId WHERE P.PostTypeId = 1 GROUP BY P.Id, P.Title, P.CreationDate, U.DisplayName, P.Score, P.ViewCount ORDER BY P.CreationDate DESC LIMIT 10;"
6625.sql,correct,,"This query retrieves each user's lowest-ranked (worst scoring) question created since January 1, 2022, showing its details sorted by score and views.","WITH RankedPosts AS ( SELECT p.Id, p.Title, p.CreationDate, p.Score, p.ViewCount, u.DisplayName AS OwnerDisplayName, DENSE_RANK() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS PostRank FROM Posts p JOIN Users u ON p.OwnerUserId = u.Id WHERE p.PostTypeId = 1 AND p.CreationDate >= '2022-01-01' ), MaxRank AS ( SELECT OwnerDisplayName, MAX(PostRank) AS MaxPostRank FROM RankedPosts GROUP BY OwnerDisplayName ) SELECT rp.Title, rp.CreationDate, rp.Score, rp.ViewCount, rp.OwnerDisplayName FROM RankedPosts rp JOIN MaxRank mr ON rp.OwnerDisplayName = mr.OwnerDisplayName WHERE rp.PostRank = mr.MaxPostRank ORDER BY rp.Score DESC, rp.ViewCount DESC;"
